source;target;category;final_state;weight
SI-Police;MDI;Cyber;in case there are disruptions in communication channels, it would not be possible to coordinate activities;5
FST;Sezana station;Functional;in case there are disruptions in communication channels, it would not be possible to coordinate activities;5
Sezana crossing;IRO;Logical;In the event of serious disruptions to road trafficon the italian side, it is possible to congeste the Slovenian counterpart;2
IRO;Sezana crossing;Logical;In the event of serious disruptions to road traffic on the Slovenian side, it is possible to congeste the Italian counterpart;2
MDI;SI-Police;Cyber;in case there are disruptions in communication channels, it would not be possible to coordinate activities;5
PCC;SM;Logical;Congestions via rerouted ships to the alternative port;2
SM;PCC;Logical;Congestions via rerouted ships to the alternative port;2
CTA-CODIS;CIS;Functional;no alert, reinforcement impossible;5
V;CIS;Physical;no alert, reinforcement impossible;5
ITFR;CIS;Cyber;no alert, reinforcement impossible;5
CIS;CTA-CODIS;Functional;Departmental coordination and command impossible;5
V;CTA-CODIS;Physical;Departmental coordination and command impossible;5
ITFR;CTA-CODIS;Cyber;Departmental coordination and command impossible;5
ITFR;V;Cyber;Intervention Impossible;5
FT;V;Physical;Intervention Impossible;3
WT;V;Physical;Intervention Impossible;3
V;ES (FR);Physical;Loss of operational performances;5
CIS;FT;Physical;Loss of reserve;5
CIS;WT;Physical;Loss of reserve;5
CCIT;CCFR;Shared;Closure of the tunnel;5
TR;CCFR;Physical;Closure of the tunnel;5
ITIT;CCFR;Cyber;Closure of the tunnel;5
CCFR;CCIT;Shared;Closure of the tunnel;5
TR;CCIT;Physical;Closure of the tunnel;5
ITIT;CCIT;Cyber;Closure of the tunnel;5
TR;VS;Physical;"impossible to evacuate the fumes; Closure of the tunnel";5
ITIT;VS;Cyber;"impossible to evacuate the fumes; Closure of the tunnel";5
Tunnels;VS;Physical;"impossible to evacuate the fumes; Closure of the tunnel";5
ITIT;TR;Cyber;"loss of local control and management functionality;Closure of the tunnel";5
Tunnels;TR;Physical;"loss of local control and management functionality;Closure of the tunnel";5
CCFR;EG;Shared;increased travel time or no rescue possible;5
CCIT;EG;Shared;increased travel time or no rescue possible;5
TR;EG;Physical;increased travel time or no rescue possible;5
ITIT;EG;Cyber;increased travel time or no rescue possible;5
CCFR;Tunnels;Shared;Closure of the tunnel;5
CCIT;Tunnels;Shared;Closure of the tunnel;5
VS;Tunnels;Physical;Closure of the tunnel;5
TR;Tunnels;Physical;Closure of the tunnel;5
EG;Tunnels;Physical;Closure of the tunnel;5
ITIT;Tunnels;Cyber;Closure of the tunnel;5
IRO;V;Functional;flow of road vehicles into Italy from the tunnel;5
V;IRO;Functional;flow of road vehicles from Italy into the tunnel;5
SFTRF road;V;Functional;flow of road vehicles into France from the tunnel;5
V;SFTRF road;Functional;flow of road vehicles from France into the tunnel;5
V;FST;Functional;flow of rail vehicles from Italy into the tunnel;5
V;SNCF rail;Functional;flow of rail vehicles from France into the tunnel;5
